  PALB       B248
  PC         B218
  PCF        B218
  PCKMO      B928
  PFD        E336
  PFMF       B9AF
  PFPO       010A
  PGIN       B22E
  PGOUT      B22F
  PKA        E9  
  PKU        E1  
  PLO        EE  
  POWD       B286
  POWE       B287
  PQAP       B2AF
  PR         0101
  PT         B228
  PTF        B9A2
  PTFF       0104
  PTI        B99E
  PTLB       B20D
  QADTR      B3F5
  QAXTR      B3FD
  QCTRI      B28E
  QSI        B286
  RACD       B2D6
  RACE       B2D7
  RCHP       B23B
  RDD        85  
  RIO        9C02
  RISBG      EC55
  RISBGZ     EC55
  RLL        EB1D
  RLLG       EB1C
  RNSBG      EC54
  RNSBGT     EC54
  ROSBG      EC56
  ROSBGT     EC56
  RP         B277
  RRB        B213
  RRBE       B22A
  RRDTR      B3F7
  RRXTR      B3FF
  RSCH       B238
  RSP        D8  
  RXSBG      EC57
  RXSBGT     EC57
  S          5B  
  SAC        B219
  SACAC      B2D9
  SACDR      B2D2
  SACER      B2D3
  SACF       B279
  SAL        B237
  SAM24      010C
  SAM31      010D
  SAM64      010E
  SAR        B24E
  SCCTL      B284
  SCCTL      B285
  SCCTR      B2E0
  SCHM       B23C
  SCK        B204
  SCKC       B206
  SCKPF      0107
  SD         6B  
  SDB        ED1B
  SDBR       B31B
  SDR        2B  
  SDRN       B2C2
  SDTR       B3D3
  SE         7B  
  SEB        ED0B
  SEBR       B30B
  SER        3B  
  SERN       B2C3
  SERVC      B220
  SETR       B216
  SFASR      B385
  SFPC       B384
  SG         E309
  SGF        E319
  SGFR       B919
  SGR        B909
  SH         4B  
  SHY        E37B
  SIE        B214
  SIGA       B274
  SIGP       AE  
  SIND       B288
  SINE       B289
  SIO        9C00
  SIOF       9C01
  SL         5F  
  SLA        8B  
  SLAG       EB0B
  SLB        E399
  SLBG       E389
  SLBGR      B989
  SLBR       B999
  SLDA       8F  
  SLDL       8D  
  SLDT       ED40
  SLG        E30B
  SLGF       E31B
  SLGFR      B91B
  SLGR       B90B
  SLL        89  
  SLLG       EB0D
  SLR        1F  
  SLXT       ED48
  SLY        E35F
  SP         FB  
  SPB        B5  
  SPCS       B270
  SPCTR      B2E1
  SPKA       B20A
  SPM        04  
  SPP        B280
  SPT        B208
  SPX        B210
  SQBS       EB8A
  SQD        ED35
  SQDB       ED15
  SQDBR      B315
  SQDR       B244
  SQE        ED34
  SQEB       ED14
  SQEBR      B314
  SQER       B245
  SQXBR      B316
  SQXR       B336
  SR         1B  
  SRA        8A  
  SRAG       EB0A
  SRDA       8E  
  SRDL       8C  
  SRDT       ED41
  SRL        88  
  SRLG       EB0C
  SRNM       B299
  SRNMT      B2B9
  SRP        F0  
  SRST       B25E
  SRSTU      B9BE
  SRXT       ED49
  SSAIR      B99F
  SSAR       B225
  SSCH       B233
  SSCTL      B287
  SSK        08  
  SSKE       B22B
  SSM        80  
  ST         50  
  STAM       9B  
  STAMY      EB9B
  STAP       B212
  STC        42  
  STCAP      B21F
  STCK       B205
  STCKC      B207
  STCKE      B278
  STCKF      B27C
  STCM       BE  
  STCMH      EB2C
  STCMY      EB2D
  STCPS      B23A
  STCRW      B239
  STCTG      EB25
  STCTL      B6  
  STCY       E372
  STD        60  
  STDY       ED67
  STE        70  
  STEAI      B2B3
  STETR      B217
  STEY       ED66
  STFL       B2B1
  STFLE      B2B0
  STFPC      B29C
  STG        E324
  STH        40  
  STHY       E370
  STIDC      B203
  STIDP      B202
  STM        90  
  STMC       B0  
  STMG       EB24
  STMH       EB26
  STMY       EB90
  STNSM      AC  
  STOSM      AD  
  STPCS      B271
  STPQ       E38E
  STPT       B209
  STPX       B211
  STRAG      E502
  STRV       E33E
  STRVG      E32F
  STRVH      E33F
  STSCH      B234
  STSI       B27D
  STURA      B246
  STURG      B925
  STY        E350
  STZP       B23D
  SU         7F  
  SUR        3F  
  SVC        0A  
  SVS        B265
  SW         6F  
  SWR        2F  
  SXBR       B34B
  SXR        37  
  SXTR       B3DB
  SY         E35B
  SZP        B23E
  TAM        010B
  TAR        B24C
  TB         B22C
  TBDR       B351
  TBEDR      B350
  TCDB       ED11
  TCEB       ED10
  TCH        9F00
  TCXB       ED12
  TDCDT      ED54
  TDCET      ED50
  TDCXT      ED58
  TDGDT      ED55
  TDGET      ED51
  TDGXT      ED59
  THDER      B358
  THDR       B359
  TIO        9D00
  TM         91  
  TMPS       0108
  TMSG       0106
  TMY        EB51
  TP         EBC0
  TPI        B236
  TPROT      E501
  TPZI       B23F
  TR         DC  
  TRACE      99  
  TRACG      EB0F
  TRAP2      01FF
  TRAP4      B2FF
  TRE        B2A5
  TROO       B993
  TROT       B992
  TRT        DD  
  TRTE       B9BF
  TRTO       B991
  TRTR       D0  
  TRTRE      B9BD
  TRTT       B990
  TS         93  
  TSCH       B235
  UNPK       F3  
  UNPKA      EA  
  UNPKU      E2  
  UPT        0102
  VA         A420
  VACD       A417
  VACDR      A517
  VACE       A407
  VACER      A507
  VACRS      A6CB
  VACSV      A6CA
  VAD        A410
  VADQ       A590
  VADR       A510
  VADS       A490
  VAE        A400
  VAEQ       A580
  VAER       A500
  VAES       A480
  VAQ        A5A0
  VAR        A520
  VAS        A4A0
  VC         A428
  VCD        A418
  VCDQ       A598
  VCDR       A518
  VCDS       A498
  VCE        A408
  VCEQ       A588
  VCER       A508
  VCES       A488
  VCOVM      A643
  VCQ        A5A8
  VCR        A528
  VCS        A4A8
  VCVM       A641
  VCZVM      A642
  VDD        A413
  VDDQ       A593
  VDDR       A513
  VDDS       A493
  VDE        A403
  VDEQ       A583
  VDER       A503
  VDES       A483
  VL         A409
  VLBIX      E428
  VLCDR      A552
  VLCER      A542
  VLCR       A562
  VLCVM      A681
  VLD        A419
  VLDQ       A599
  VLDR       A519
  VLE        A409
  VLEL       A628
  VLELD      A618
  VLELE      A608
  VLEQ       A589
  VLER       A509
  VLH        A429
  VLI        E400
  VLID       E410
  VLIE       E400
  VLINT      A42A
  VLM        A40A
  VLMD       A41A
  VLMDQ      A59A
  VLMDR      A51A
  VLME       A40A
  VLMEQ      A58A
  VLMER      A50A
  VLMQ       A5AA
  VLMR       A50A
  VLNDR      A551
  VLNER      A541
  VLNR       A561
  VLPDR      A550
  VLPER      A540
  VLPR       A560
  VLQ        A5A9
  VLR        A509
  VLVCA      A6C4
  VLVCU      A645
  VLVM       A680
  VLVXA      A6C7
  VLY        A40B
  VLYD       A41B
  VLYE       A40B
  VLZDR      A51B
  VLZER      A50B
  VLZR       A50B
  VM         A422
  VMAD       A414
  VMADQ      A594
  VMADS      A494
  VMAE       A404
  VMAEQ      A584
  VMAES      A484
  VMCD       A416
  VMCDR      A516
  VMCE       A406
  VMCER      A506
  VMD        A412
  VMDQ       A592
  VMDR       A512
  VMDS       A492
  VME        A402
  VMEQ       A582
  VMER       A502
  VMES       A482
  VMNSD      A611
  VMNSE      A601
  VMQ        A5A2
  VMR        A522
  VMRRS      A6C3
  VMRSV      A6C1
  VMS        A4A2
  VMSD       A415
  VMSDQ      A595
  VMSDS      A495
  VMSE       A405
  VMSEQ      A585
  VMSES      A485
  VMXAD      A612
  VMXAE      A602
  VMXSD      A610
  VMXSE      A600
  VN         A424
  VNQ        A5A4
  VNR        A524
  VNS        A4A4
  VNVM       A684
  VO         A425
  VOQ        A5A5
  VOR        A525
  VOS        A4A5
  VOVM       A685
  VRCL       A6C5
  VRRS       A648
  VRSV       A64A
  VRSVC      A649
  VS         A421
  VSD        A411
  VSDQ       A591
  VSDR       A511
  VSDS       A491
  VSE        A401
  VSEQ       A581
  VSER       A501
  VSES       A481
  VSLL       E425
  VSPSD      A61A
  VSQ        A5A1
  VSQD       A453
  VSQDR      A553
  VSQE       A443
  VSQER      A543
  VSR        A521
  VSRL       E424
  VSRRS      A6C2
  VSRSV      A6C0
  VSS        A4A1
  VST        A40D
  VSTD       A41D
  VSTE       A40D
  VSTH       A42D
  VSTI       E401
  VSTID      E411
  VSTIE      E401
  VSTK       A40F
  VSTKD      A41F
  VSTKE      A40F
  VSTM       A40E
  VSTMD      A41E
  VSTME      A40E
  VSTVM      A682
  VSTVP      A6C8
  VSVMM      A6C6
  VTAD       A454
  VTAE       A444
  VTSD       A455
  VTSE       A445
  VTVM       A640
  VX         A426
  VXEL       A629
  VXELD      A619
  VXELE      A609
  VXQ        A5A6
  VXR        A526
  VXS        A4A6
  VXVC       A644
  VXVM       A686
  VXVMM      A646
  VZPSD      A61B
  WRD        84  
  X          57  
  XC         D7  
  XDECI      53  
  XDECO      52  
  XDUMP      E1  
  XG         E382
  XGR        B982
  XHEXI      61  
  XHEXO      62  
  XI         97  
  XIY        EB57
  XOPC       01  
  XR         17  
  XSCH       B276
  XY         E357
  ZAP        F8  
